# Score: min -3000, max 4446, med -1029
# Num steps: min 1000, max 1000, med 1000
seed,score,num_steps
7040,796,1000
7041,-153,1000
7042,-1540,1000
7043,-1613,1000
7044,-956,1000
7045,285,1000
7046,-445,1000
7047,1672,1000
7048,-956,1000
7049,-2635,1000
7050,1745,1000
7051,-1613,1000
7052,66,1000
7053,-1759,1000
7054,-2270,1000
7055,-1905,1000
7056,-226,1000
7057,-299,1000
7058,-518,1000
7059,2913,1000
7060,-153,1000
7061,-153,1000
7062,-2343,1000
7063,-1759,1000
7064,-299,1000
7065,-591,1000
7066,1672,1000
7067,-2197,1000
7068,-2489,1000
7069,-372,1000
7070,-1613,1000
7071,-226,1000
7072,-591,1000
7073,-883,1000
7074,-2270,1000
7075,650,1000
7076,-1832,1000
7077,-1394,1000
7078,-1905,1000
7079,650,1000
7080,-1686,1000
7081,-2197,1000
7082,-956,1000
7083,-1467,1000
7084,-2197,1000
7085,-2343,1000
7086,-2051,1000
7087,577,1000
7088,-2197,1000
7089,-2343,1000
7090,-591,1000
7091,-299,1000
7092,-1102,1000
7093,-883,1000
7094,-664,1000
7095,-1321,1000
7096,-2562,1000
7097,-2854,1000
7098,-1102,1000
7099,-1394,1000
7100,-1175,1000
7101,-299,1000
7102,212,1000
7103,-2051,1000
7104,-664,1000
7105,-2708,1000
7106,66,1000
7107,-737,1000
7108,-2270,1000
7109,212,1000
7110,-883,1000
7111,285,1000
7112,-883,1000
7113,-2635,1000
7114,-2197,1000
7115,-2416,1000
7116,650,1000
7117,-2635,1000
7118,-518,1000
7119,-2489,1000
7120,-1905,1000
7121,-2343,1000
7122,-883,1000
7123,-2197,1000
7124,-1102,1000
7125,1672,1000
7126,-2416,1000
7127,-80,1000
7128,-1321,1000
7129,358,1000
7130,-2197,1000
7131,-1321,1000
7132,-2635,1000
7133,-1394,1000
7134,-2781,1000
7135,-664,1000
7136,-664,1000
7137,-1175,1000
7138,-2854,1000
7139,-2051,1000
7140,-153,1000
7141,-1686,1000
7142,212,1000
7143,3351,1000
7144,-2781,1000
7145,-591,1000
7146,2037,1000
7147,-1029,1000
7148,66,1000
7149,-1832,1000
7150,-1175,1000
7151,-664,1000
7152,-883,1000
7153,-1029,1000
7154,-2343,1000
7155,-2197,1000
7156,-2781,1000
7157,-1394,1000
7158,1307,1000
7159,-1978,1000
7160,-1759,1000
7161,-956,1000
7162,-1905,1000
7163,-518,1000
7164,-153,1000
7165,-1175,1000
7166,212,1000
7167,-445,1000
7168,-1321,1000
7169,-2562,1000
7170,-153,1000
7171,-1394,1000
7172,1599,1000
7173,796,1000
7174,-2051,1000
7175,-2197,1000
7176,1745,1000
7177,-2124,1000
7178,1161,1000
7179,-591,1000
7180,-153,1000
7181,-226,1000
7182,-1321,1000
7183,-1029,1000
7184,-2635,1000
7185,-2635,1000
7186,-1321,1000
7187,-80,1000
7188,1234,1000
7189,-956,1000
7190,-1321,1000
7191,139,1000
7192,-2416,1000
7193,-1832,1000
7194,1672,1000
7195,-445,1000
7196,-664,1000
7197,-1832,1000
7198,358,1000
